find src/java/core -name "*.java" | xargs wc | sort -n &&  find src/java/core -name "*.scala" | xargs wc | sort -n
       9      41     309 src/java/core/leapstream/scoreboard/alien/clobber/core/DefaultDumper.java
      10      17     222 src/java/core/leapstream/scoreboard/core/pylon/Pylon.java
      10      18     266 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/FlashBang.java
      10      19     263 src/java/core/leapstream/scoreboard/core/model/Run.java
      10      20     265 src/java/core/leapstream/scoreboard/core/gunge/Historian.java
      10      20     272 src/java/core/leapstream/scoreboard/edge/java/awt/FontStatic.java
      10      20     349 src/java/core/leapstream/scoreboard/pylons/status/ui/core/StatusTile.java
      10      20     350 src/java/core/leapstream/scoreboard/pylons/image/ui/core/ImageTile.java
      10      21     320 src/java/core/leapstream/scoreboard/pylons/image/core/ImagePylonWirerFu.java
      10      28     216 src/java/core/leapstream/scoreboard/core/ui/key/LeftHandler.java
      10      31     373 src/java/core/leapstream/scoreboard/pylons/score/config/ScoreExposedConfig.java
      10      33     379 src/java/core/leapstream/scoreboard/pylons/score/core/UiThing.java
      10      34     260 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/DefaultTiler.java
      10      34     306 src/java/core/leapstream/scoreboard/core/pylon/Pylons.java
      10      36     313 src/java/core/leapstream/scoreboard/alien/gunge/TimePointFormatter.java
      10      36     337 src/java/core/leapstream/scoreboard/core/config/exposed/Seed.java
      10      38     340 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/Token.java
      10      38     364 src/java/core/leapstream/scoreboard/alien/ui/swing/pear/FrameProvider.java
      10      39     363 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/Dial.java
      10      63     496 src/java/core/leapstream/scoreboard/core/config/exposed/ConfigRegistry.java
      11      17     212 src/java/core/leapstream/scoreboard/edge/java/io/File.java
      11      19     212 src/java/core/leapstream/scoreboard/core/ui/key/CHandler.java
      11      19     214 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/DialColors.java
      11      19     279 src/java/core/leapstream/scoreboard/alien/script/Engines.java
      11      20     219 src/java/core/leapstream/scoreboard/core/ui/key/UpHandler.java
      11      20     223 src/java/core/leapstream/scoreboard/core/ui/key/DownHandler.java
      11      21     337 src/java/core/leapstream/scoreboard/edge/java/lang/ClassLoader.java
      11      24     367 src/java/core/leapstream/scoreboard/edge/javax/script/ScriptEngineManager.java
      11      26     279 src/java/core/leapstream/scoreboard/pylons/score/state/ScorePylonState.java
      11      35     325 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/SimpleToken.java
      11      37     360 src/java/core/leapstream/scoreboard/alien/ui/gunge/aspect/AspectAdjuster.java
      11      39     371 src/java/core/leapstream/scoreboard/alien/ui/swing/pear/PanelProvider.java
      12      23     323 src/java/core/leapstream/scoreboard/pylons/score/push/StateScorePusher.java
      12      25     350 src/java/core/leapstream/scoreboard/alien/ui/swing/pear/LabelProvider.java
      12      26     299 src/java/core/leapstream/scoreboard/pylons/score/push/LogScorePusher.java
      12      26     341 src/java/core/leapstream/scoreboard/core/sounds/DefaultSounds.java
      12      26     375 src/java/core/leapstream/scoreboard/edge/javax/net/ssl/SSLContext.java
      12      30     291 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/TokenStream.java
      12      31     327 src/java/core/leapstream/scoreboard/core/ui/key/SHandler.java
      12      33     278 src/java/core/leapstream/scoreboard/core/ui/key/HHandler.java
      12      36     291 src/java/core/leapstream/scoreboard/core/ui/key/SpaceHandler.java
      12      36     454 src/java/core/leapstream/scoreboard/alien/resilient/DefaultResilientRunnables.java
      12      41     501 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/StringParser.java
      12      48     410 src/java/core/leapstream/scoreboard/alien/ui/gunge/fitter/DefaultFitter.java
      13      19     254 src/java/core/leapstream/scoreboard/edge/java/net/URL.java
      13      23     266 src/java/core/leapstream/scoreboard/alien/ui/swing/pear/Panel.java
      13      24     279 src/java/core/leapstream/scoreboard/core/gunge/Timestamp.java
      13      25     257 src/java/core/leapstream/scoreboard/edge/javax/sound/sampled/SourceDataLine.java
      13      26     400 src/java/core/leapstream/scoreboard/pylons/score/job/DefaultScoreFromInputStream.java
      13      27     323 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/Layout.java
      13      30     493 src/java/core/leapstream/scoreboard/edge/java/net/URLConnection.java
      13      31     340 src/java/core/leapstream/scoreboard/alien/collections/DefaultQueues.java
      14      21     295 src/java/core/leapstream/scoreboard/core/model/Score.java
      14      24     298 src/java/core/leapstream/scoreboard/edge/java/text/DateFormat.java
      14      27     417 src/java/core/leapstream/scoreboard/pylons/image/pull/DefaultImagePuller.java
      14      33     385 src/java/core/leapstream/scoreboard/core/poll/DefaultPoller.java
      14      34     340 src/java/core/leapstream/scoreboard/alien/ui/gunge/invert/DefaultInverter.java
      14      38     444 src/java/core/leapstream/scoreboard/core/pylon/DefaultPylonWirer.java
      14      39     430 src/java/core/leapstream/scoreboard/alien/net/protocol/http/HttpSocketMaster.java
      14      46     367 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/DefaultNameMapper.java
      14      63     472 src/java/core/leapstream/scoreboard/core/poll/Times.java
      15      23     264 src/java/core/leapstream/scoreboard/edge/java/lang/Thread.java
      15      29     336 src/java/core/leapstream/scoreboard/alien/ui/audio/core/DefaultAudio.java
      15      33     358 src/java/core/leapstream/scoreboard/alien/ui/audio/core/SequentialPlayable.java
      15      36     421 src/java/core/leapstream/scoreboard/core/ui/key/FullScreenHandler.java
      15      37     308 src/java/core/leapstream/scoreboard/core/ui/widgets/NavigableTiles.java
      15      39     411 src/java/core/leapstream/scoreboard/alien/io/file/DefaultFiles.java
      15      49     570 src/java/core/leapstream/scoreboard/alien/ui/dialog/DefaultInputDialog.java
      15      50     417 src/java/core/leapstream/scoreboard/pylons/score/ui/lf/DefaultColors.java
      16      30     289 src/java/core/leapstream/scoreboard/core/poll/Poll.java
      16      30     572 src/java/core/leapstream/scoreboard/pylons/image/core/ImageWeb.java
      16      31     530 src/java/core/leapstream/scoreboard/alien/aqueduct/AqueductWeb.java
      16      36     489 src/java/core/leapstream/scoreboard/core/gunge/DefaultImager.java
      17      29     390 src/java/core/leapstream/scoreboard/core/ui/frob/DefaultWindowFrobber.java
      17      34     488 src/java/core/leapstream/scoreboard/pylons/score/job/ScoreTimeoutHandler.java
      17      35     492 src/java/core/leapstream/scoreboard/pylons/score/job/ScoreErrorHandler.java
      17      39     540 src/java/core/leapstream/scoreboard/core/ui/config/DefaultConfig.java
      17      43     492 src/java/core/leapstream/scoreboard/core/gunge/DefaultBuilder.java
      17      58     617 src/java/core/leapstream/scoreboard/alien/ui/audio/wav/DefaultStreama.java
      18      32     421 src/java/core/leapstream/scoreboard/edge/javax/script/ScriptEngine.java
      18      34     349 src/java/core/leapstream/scoreboard/alien/aqueduct/DefaultAqueduct.java
      18      40     518 src/java/core/leapstream/scoreboard/alien/net/url/DefaultUrlProcessor.java
      18      43     589 src/java/core/leapstream/scoreboard/pylons/score/ui/audio/DefaultGong.java
      19      34     386 src/java/core/leapstream/scoreboard/pylons/image/push/HubImagePusher.java
      19      36     750 src/java/core/leapstream/scoreboard/pylons/score/core/StatusUiWeb.java
      19      38     497 src/java/core/leapstream/scoreboard/alien/aqueduct/DefaultConduit.java
      19      43     449 src/java/core/leapstream/scoreboard/alien/resilient/SafeRunnable.java
      19      44     507 src/java/core/leapstream/scoreboard/alien/ui/gunge/thread/DefaultThreadUtil.java
      19      45     485 src/java/core/leapstream/scoreboard/alien/ui/gunge/layer/MethodRunnable.java
      19      54     591 src/java/core/leapstream/scoreboard/alien/ui/gunge/border/DefaultBorders.java
      19      58     649 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/EnumParser.java
